pkg_name,pkg_size,category,sub_category,country,platform,device_brand_name,lang,osv,bundle_size,adx_times,aff_times,direct_times,request14,impression14,click14,ctr14,cvr14,sim_clickconvir_score,sim_clickconvf_score,sim_installir_score,sim_installf_score,pkgBundleWeight,pkgBundleWeightSim
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,3.135494,56,5,0,57,9,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.863551,-2.927668
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,8.1.0,3.091042,3,7,1,46,3,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.785152,-3.220632
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,REALME,ENGLISH,10,3.091042,0,11,5,35,12,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.132235,-3.017232
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,8.1.0,4.369448,1,31,7,24,2,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.928247,-3.255121
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,SAMSUNG,ENGLISH,8.1,2.772589,5,56,11,13,0,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.921614,-2.916977
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,SAMSUNG,ENGLISH,11,2.639057,7,3,3,2,1,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.741975,-2.893791
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,MOTOROLA,ENGLISH,8,2.397895,11,0,0,0,0,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.797103,-2.984934
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,8.1.0,5.030438,31,1,1,1397,151,5,0.033112583,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.196671,-3.215732
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,TECNO,ENGLISH,10,2.397895,56,5,5,1109,157,3,0.01910828,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.138221,-2.699501
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,OPPO,ENGLISH,10,2.639057,3,7,7,764,103,2,0.019417476,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.897058,-3.021821
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,8.1.0,3.970292,0,11,11,651,109,1,0.009174312,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.155225,-2.684581
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,REDMI,ENGLISH,10,3.78419,1,31,31,581,115,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.003887,-3.148981
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,11,1.098612,5,56,56,531,41,1,0.024390244,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.901758,-2.596545
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,10,2.995732,7,3,3,485,67,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.943562,-2.845166
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,OPPO,ENGLISH,9,2.639057,11,0,0,471,81,2,0.024691358,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.465173,-2.970668
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,POCO,ENGLISH,10,2.772589,31,5,1,412,15,1,0.066666667,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.027662,-2.74773
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,SAMSUNG,ENGLISH,10,3.610918,56,7,5,378,31,1,0.032258065,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.875083,-2.850798
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,10,4.787492,3,11,7,362,12,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.999526,-3.141133
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,10,1.098612,0,31,11,310,15,1,0.066666667,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.299378,-2.837464
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,OPPO,OTHERS,10,2.833213,1,56,31,299,41,1,0.024390244,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.965348,-2.797713
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,10,1.94591,5,3,56,296,13,1,0.076923077,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.511898,-2.450891
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,3.663562,7,0,3,287,14,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.071404,-2.770896
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,REALME,ENGLISH,30,3.178054,11,1,0,229,19,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.913232,-2.813002
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,11,4.89784,31,5,1,210,32,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.29196,-2.841905
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,11,1.791759,56,7,5,190,32,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.817269,-3.092467
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,2.484907,3,11,7,187,12,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.578584,-3.006936
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,SAMSUNG,ENGLISH,10,4.234107,0,31,11,174,64,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.020683,-2.860832
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,REDMI,ENGLISH,30,3.135494,1,56,3,167,11,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.996424,-3.050526
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,11,3.7612,5,3,0,156,9,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.064456,-3.105339
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,10,3.135494,7,0,1,145,43,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.849544,-2.960356
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,10,3.332205,11,1,5,134,12,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.892609,-3.052472
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,10,5.337538,31,5,7,123,11,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.056633,-3.04891
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,OPPO,OTHERS,11,2.484907,56,7,11,112,8,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.996344,-2.792541
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,8.1.0,2.564949,3,11,31,101,32,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.071869,-2.879426
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,2.197225,0,31,56,90,21,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.369855,-3.011234
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,11,-20.72326584,1,56,3,79,42,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-20.72326584
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,2.639057,5,3,0,68,8,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.62414,-2.852815
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,REALME,ENGLISH,30,2.079442,7,0,1,57,9,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.047909,-3.279114
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,10,-20.72326584,11,5,5,46,3,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-20.72326584
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,OPPO,ENGLISH,30,1.94591,31,7,7,35,12,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.673227,-3.207098
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,11,3.178054,56,11,11,24,2,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.929831,-2.886916
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,8.1.0,1.609438,3,31,31,13,0,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.555249,-2.830107
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,11,1.609438,0,56,56,2,1,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.299378,-2.837464
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,ENGLISH,10,3.091042,1,3,3,0,0,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.811532,-2.979032
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,9,4.304065,5,0,0,1397,151,5,0.033112583,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.046417,-3.188124
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,10,4.189655,7,1,1,1109,157,3,0.01910828,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.171925,-2.775702
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,OPPO,ENGLISH,30,2.079442,11,5,5,764,103,2,0.019417476,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.960639,-3.140522
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,7.1.2,1.791759,31,7,7,651,109,1,0.009174312,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.743085,-2.896436
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,11,2.70805,56,11,11,581,115,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.714729,-2.956502
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,10,2.197225,3,31,3,531,41,1,0.024390244,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.642258,-3.249393
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,11,2.70805,0,56,0,485,67,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.929451,-2.902134
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,ENGLISH,8.1,3.433987,1,3,1,471,81,2,0.024691358,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.884884,-3.205224
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,8.1.0,5.874931,5,0,5,412,15,1,0.066666667,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.161043,-2.872091
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,2.890372,7,1,7,378,31,1,0.032258065,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.96746,-2.775491
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,HINDI,8.1.0,1.791759,11,5,11,362,12,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.523461,-2.915265
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,HINDI,9,1.94591,31,7,31,310,15,1,0.066666667,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.785983,-2.353097
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,7.1.2,4.077537,56,11,56,299,41,1,0.024390244,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.180479,-3.036828
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,2.302585,3,31,3,296,13,1,0.076923077,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.095739,-2.558385
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,3.433987,0,56,0,287,14,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.938573,-3.133431
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,10,3.367296,1,3,1,229,19,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.889881,-3.208466
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,11,2.70805,5,0,5,210,32,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.898196,-2.614952
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,9,2.833213,7,5,7,190,32,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.135897,-2.527469
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,9,1.609438,11,7,11,187,12,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.951995,-3.419356
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,ENGLISH,6.0.1,4.477337,31,11,31,174,64,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.113643,-2.954561
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,HINDI,10,2.772589,56,31,56,167,11,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.95697,-2.651448
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,10,4.174387,3,56,3,156,9,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.02297,-2.849485
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,I KALL,ENGLISH,6,1.609438,0,3,0,145,43,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.704673,-3.178171
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,OPPO,ENGLISH,7.1,5.393628,1,0,1,134,12,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.050862,-3.182188
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,8.1,3.135494,5,1,5,123,11,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.763998,-3.171164
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,HINDI,8.1,1.94591,7,5,7,112,8,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.848794,-3.290032
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,SAMSUNG,ENGLISH,11,2.397895,11,7,11,101,32,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.656232,-2.860345
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,10,1.609438,31,11,3,90,21,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-20.72326584
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,2.564949,56,31,0,79,42,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.061847,-2.60769
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,11,2.70805,3,56,1,68,8,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.931656,-2.815355
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,11,2.833213,0,3,5,57,9,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.687561,-3.031596
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,HONOR,ENGLISH,9,2.079442,1,0,7,46,3,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.79208,-3.27207
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,8.1.0,4.158883,5,1,11,35,12,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.155701,-2.976595
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,3.806662,7,5,31,24,2,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.065964,-2.697411
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,SAMSUNG,ENGLISH,10,2.70805,11,7,56,13,0,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.112157,-3.311479
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,HUAWEI,ENGLISH,4.3,1.386294,31,11,3,2,1,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.848794,-3.290032
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,REALME,ENGLISH,10,3.78419,56,31,0,0,0,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.8129,-2.851779
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,8.1.0,3.637586,3,56,1,1397,151,5,0.033112583,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.80221,-3.153597
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,OPPO,ENGLISH,9,3.135494,0,3,5,1109,157,3,0.01910828,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.793786,-2.88373
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,10,4.26268,1,0,7,764,103,2,0.019417476,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.890701,-2.923572
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,9,3.637586,5,5,11,651,109,1,0.009174312,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.106068,-2.823737
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,MOTOROLA,ENGLISH,8.1,2.833213,7,7,31,581,115,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.847455,-3.013793
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,VIVO,OTHERS,9,2.079442,11,11,56,531,41,1,0.024390244,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.923793,-2.966653
IN.MOHALLA.SHARECHAT,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,8.1.0,3.401197,31,31,3,485,67,0,0,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-3.908302,-2.782525
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,SAMSUNG,ENGLISH,11,2.484907,56,56,0,471,81,2,0.024691358,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.008863,-2.98905
COM.NEXT.INNOVATION.TAKATAK,OTHERS,APPLICATIONS,SOCIAL,IN,ANDROID,XIAOMI,ENGLISH,7.1,3.806662,3,3,1,412,15,1,0.066666667,0,-20.72326584,-20.72326584,-20.72326584,-20.72326584,-4.029077,-3.09829
